Year,Athlete,Result,Category,,Team Result,,,,
2011,Reid Loftstrom,2,U18 +59,Junior,,,,,
2011,Cadence O'Neal,3,U18 -48,Junior,,,,,
2011,Sarah Jenkins,3,U18 -59,Junior,,,,,
2011,Jusleen Virk,3,Womens -50,Senior,,,,,
2011,Andrea Maikawa,2,Womens -61,Senior,,,,,
2011,Jusleen Virk,1,U21 -53,Junior,,,,,
2011,Brendon Ly,3,U16 +70,Junior,,,,,
2011,Zach Chan,3,U16 -57,Junior,,,,,
2011,Jag Sandhu,1,U16 -63,Junior,,,,,
2011,Matthew Ly,1,U18 +76,Junior,,,,,
2011,Derek Chan,1,U18 -55,Junior,,,,,
2011,Shaun Dhillon,2,Mens +84,Senior,,,,,
2011,Cody Martin,3,Mens -60,Senior,,,,,
2011,Matt Bickel,3,Mens -75,Senior,,,,,
2011,Cody Martin,3,U21 -68,Junior,,,,,
2012,Derek Chan,1,U21 -68,Junior,,,,,
2012,Derek Chan,1,U18 -61,Junior,,,,,
2012,Jusleen Virk,2,U21 -50,Junior,,,,,
2012,Cody Martin,1,Mens -60,Senior,,,,,
2012,Shaun Dhillon,1,Mens+84,Senior,,,,,
2012,Jusleen Virk,1,Womens,Senior,,,,,
2012,Isabel Chan,1,U15 -47,Junior,,,,,
2012,Cedomir Vasic,1,U18 +76,Junior,,,,,
2012,Aya Kitaoka,2,U16 +54,Junior,,,,,
2012,Harpreet Sidhu,3,U18 +59,Junior,,,,,
2012,Brendon Ly,3,U16 +70,Junior,,,,,
2012,Dylan Robinson,3,U21 -78,Junior,,,,,
2012,Arash Beytoei,3,Open,Junior,,,,,
2012,Andrea Maikawa,,,,3,,,,
2012,Jusleen Virk,,,,3,,,,
2013,Alexandra Zaborniak,2,U16 -54,Junior,,,,,
2013,Harpreet Sidhu,2,U18 +59,Junior,,,,,
2013,Isabel Chan,1,U16 -48,Junior,,,,,
2013,Rachel Ko,3,U16 -48,Junior,,,,,
2013,Kim Logan,3,Womens +68,Senior,,,,,
2013,Jusleen Virk,1,Womens -50,Senior,,,,,
2013,CIndy Jacob,3,Womens -68,Senior,,,,,
2013,Anisha Virk,3,U21 -53,Junior,,,,,
2013,Isaac Mand,1,U16 -57,Junior,,,,,
2013,Joel Tai,3,U16 -57,Junior,,,,,
2013,Kyle Macmillan,3,U16 -63,Junior,,,,,
2013,Brendon Ly,1,U18 +76,Junior,,,,,
2013,Callan Evans,2,U18 +76,Junior,,,,,
2013,Shaun Dhillon,1,Mens +84,Senior,,,,,
2013,Arash Beytoei,1,Mens -67,Senior,2,,,,
2013,Matthew Ly,3,Mens -67,Senior,,,,,
2013,Shaun Dhillon,1,Open,Junior,2,,,,
2013,Cedomir Vasic,2,U21 +78,Junior,2,,,,
2013,Matthew Ly,2,U21 -68,Junior,2,,,,
2013,Matt Bickel,,,,2,,,,
2014,Aya Kitaoka,1,U16 +54,Junior,,,,,
2014,Cassia Kitaoka,2,U16 +54,Junior,,,,,
2014,Zoe Fong,2,U16 -47,Junior,,,,,
2014,Alexandra Zaborniak,3,U16 -54,Junior,,,,,
2014,Vanessa Vung,2,U18 -48,Junior,,,,,
2014,Gurkamel Gill,3,U18 -53,Junior,,,,,
2014,Alexandra Zaborniak,1,U18 -59,Junior,,,,,
2014,Jusleen Virk,1,Womens -50,Senior,,,,,
2014,Jusleen Virk,3,Open,Junior,,,,,
2014,Reid Loftstrom,3,U21 +60,Junior,,,,,
2014,Anisha Virk,2,U21 -53,Junior,,,,,
2014,Josh Dhillon,1,U16 -52,Junior,,,,,
2014,Kieran Quan,3,U16 -52,Junior,,,,,
2014,Jai Sanghera,3,U16 -70,Junior,,,,,
2014,Brendon Ly,1,U18 +76,Junior,,,,,
2014,Isaac Mand,1,U18 -55,Junior,,,,,
2014,Kyle Macmillan,3,U18 -68,Junior,,,,,
2014,Derek Chan,3,Mens -60,Senior,,,,,
2015,Zoe Fong,1,U16 -47,Junior,,,,,
2015,Stephanie Zaborniak,2,U16 -47,Junior,,,,,
2015,Melissa Chan,3,U16 -47,Junior,,,,,
2015,Pawan Sidhu,2,U18 +59,Junior,,,,,
2015,Isabel Chan,2,U18 -48,Junior,,,,,
2015,Alexandra Zaborniak,1,U18 -59,Junior,,,,,
2015,Jusleen Virk,1,Womens -50,Senior,,,,,
2015,CIndy Jacob,3,Womens -68,Senior,3,,,,
2015,Harpreet Sidhu,2,U21 +68,Junior,3,,,,
2015,Isabel Chan,2,U21 -50,Junior,,,,,
2015,Gurkamel Gill,2,U21 -55,Junior,3,,,,
2015,Josh Dhillon,1,U16 -52,Junior,,,,,
2015,Kieran Quan,3,U16 -52,Junior,,,,,
2015,Joel Tai,2,U16 -57,Junior,,,,,
2015,Aarjan Gill,3,U16 -57,Junior,,,,,
2015,Jacob Mand,2,U16 -63,Junior,,,,,
2015,Brendan Wise,3,U16 -70,Junior,,,,,
2015,Josh Dhillon,2,U16 -55,Junior,,,,,
2015,Isaac Mand,3,U16 -55,Junior,,,,,
2015,Brendon Ly,3,Mens +84,Senior,,,,,
2015,Derek Chan,3,Mens -60,Senior,,,,,
2015,Brendon Ly,1,U21 +84,Junior,,,,,
2015,Derek Chan,1,U21 -60,Junior,,,,,
2016,Stephanie Zaborniak,2,U16 -47,Junior,,,,,
2016,Julia Maclean,1,U16 -54,Junior,,,,,
2016,Pawan Sidhu,3,U18 +59,Junior,,,,,
2016,Melissa Chan,2,U18 -48,Junior,,,,,
2016,Zoe Fong,3,U18 -48,Junior,,,,,
2016,Alexandra Zaborniak,1,U18 -59,Junior,,,,,
2016,Angelica Gomez-Lalonde,3,U18 -59,Junior,,,,,
2016,Isabel Chan,1,Womens -50,Senior,,,,,
2016,Isabel Chan,1,U21 -50,Junior,,,,,
2016,Caitlyn Santos,3,U14 -40,Junior,,,,,
2016,Michael Plunkett,2,U14 -52,Junior,,,,,
2016,Josh Dhillon,2,U18 -55,Junior,,,,,
2016,Masaki Soehardhi,3,U18 -55,Junior,,,,,
2016,Brendon Ly,3,Mens +84,Senior,,,,,
2016,Ginger Lin,4,U14 -45,Junior,,,,,
2016,Jai Sanghera,4,U18 -76,Junior,,,,,
2016,Derek Chan,2,Mens -60,Senior,,,,,
2016,Matthew Ly,3,Mens -67,Senior,3,,,,
2016,Brendon Ly,2,Mens +84,Senior,3,,,,
2016,Kole Macmillan,2,U14 -45,Junior,,,,,
2017,Caitlyn Lam,3,U16 -47,Junior,,,,,
2017,Stephanie Zaborniak,4,U16 -47,Junior,,,,,
2017,Julia Maclean,1,U16 -54,Junior,,,,,
2017,Melissa Chan,1,U18 -48,Junior,,,,,
2017,Stephanie Zaborniak,2,U18 -48,Junior,,,,,
2017,Zoe Fong,3,U18 -53,Junior,,,,,
2017,Natasha Lam,4,U18 -53,Junior,,,,,
2017,Jusleen Virk,1,Womens -50,Senior,3,,,,
2017,Isabel Chan,3,Womens -50,Senior,,,,,
2017,Pawan Sidhu,2,U21 +68,Junior,,,,,
2017,Isabel Chan,3,U21 -50,Junior,,,,,
2017,Alexandra Zaborniak,3,U21 -68,Junior,3,,,,
2017,Kole Macmillan,1,U16 -52,Junior,,,,,
2017,MIchael Plunkett,4,U16 -52,Junior,,,,,
2017,Josh Dhillon,1,U18 -55,Junior,,,,,
2017,Michael Plunkett,2,U18 -55,Junior,,,,,
2017,Joel Tai,4,U18 -61,Junior,,,,,
2017,Brendan Wise,1,U18 -76,Junior,,,,,
2017,Brendon Ly,2,Mens +84,Senior,2,,,,
2017,Cedomir Vasic,4,Mens +84,Senior,2,,,,
2017,Brendon Ly,1,U21 +84,Junior,,,,,
2017,Joel Tai,4,U21 -60,Junior,,,,,
2017,Brendan Wise,4,U21 -75,Junior,,,,,
2017,Ezekiel Pareja,2,U14 -45,Junior,,,,,
2017,Rishi Sharma,4,U14 -35,Junior,,,,,
2018,Caitlin Lam,1,U16 -47,Junior,,,,,
2018,Caitlyn Santos,2,U16 -47,Junior,,,,,
2018,Maya Soehardi,4,U16 -54,Junior,,,,,
2018,Caitlin Lam,1,U18 -48,Junior,,,,,
2018,Stephanie Zaborniak,3,U18 -48,Junior,,,,,
2018,Maya Soehardi,1,U18 -53,Junior,,,,,
2018,Julia Maclean,1,U18 -59,Junior,,,,,
2018,Jusleen Virk,1,Womens -50,Senior,2,,,,
2018,Isabel Chan,3,Womens -50,Senior,,,,,
2018,Alexandra Zaborniak,2,Womens -68,Senior,,,,,
2018,Natasha Lam,2,U21 -50,Junior,,,,,
2018,Isabel Chan,3,U21 -50,Junior,2,,,,
2018,Angelica Gomez-Lalonde,3,U21 -61,Junior,,,,,
2018,Alexandra Zaborniak,1,U21 -68,Junior,2,,,,
2018,Meera Minhas,2,U14 +45,Junior,,,,,
2018,Kole Macmillan,1,U14 -57,Junior,,,,,
2018,Isaiah Ingram,4,U16 -57,Junior,,,,,
2018,Michael Plunkett,1,U18 -55,Junior,,,,,
2018,Zach Fong,3,U18 -61,Junior,,,,,
2018,Justin Ng,1,U18 -76,Junior,,,,,
2018,Cedomir Vasic,2,Mens +84,Senior,,,,,
2018,Shaun Dhillon,3,Mens -84,Senior,,,,,
2018,Jai Sanghera,1,U21 +84,Junior,,,,,
2018,Aarjan Gill,3,U21 -67,Junior,,,,,
2018,Rishi Sharma,3,U14 -40,Junior,,,,,
2018,Ezekiel Pareja,2,U14 -55,Junior,,,,,
2018,Ezekiel Pareja,1,PKF -50,Junior,,,,,
2018,Stephanie Zaborniak,2,YOG -53,Junior,,,,,
2018,Maya Soehardi,3,YOG -53,Junior,,,,,
2018,Michael Plunkett,1,YOG -61,Junior,,,,,
2018,Amr Fahmy,1,U18 Kata,Junior,,,,,
2018,Amr Fahmy,3,U21 Kata,Junior,,,,,
2018,Amr Fahmy,1,U21 Kata Team,Junior,,,,,
2018,Shalene Lee,2,U21 Kata,Junior,,,,,
2018,Shalene Lee,3,U21 -61,Junior,,,,,
2019,Jusleen Virk,1,Womens -50,Senior,,,,,
2019,Isabel Chan,4,Womens -50,Senior,,,,,
2019,Alexandra Zaborniak,2,Womens -68,Senior,,,,,
2019,Shaun Dhillon,3,Mens -84,Senior,,,,,
2019,Caitlin Lam,3,U18 -48,Junior,,,,,
2019,Maya Soehardi,3,U18 -53,Junior,,,,,
2019,Melissa Chan,1,U21 -50,Junior,,,,,
2019,Angelica Gomez-Lalonde,1,U21 -61,Junior,,,,,
2019,Hayden Smith,2,U16 -70,Junior,,,,,
2019,Kole Macmillan,3,U18 -61,Junior,,,,,
2019,Michael Plunkett,2,U21 -60,Junior,,,,,
2019,Jamie Sutherland,1,U14 +55,Junior,,,,,
2019,Skyler Tanahara,1,U14 -40,Junior,,,,,
2019,Daniel Friedman,3,U14 -55,Junior,,,,,
2019,Layan Haouaoui,4,U16 +54,Junior,,,,,
2019,Sheja Rubayi,4,U16 +70,Junior,,,,,
